frame_index_original,frame_index_zeroed,elapsed_time_s,timestamp,range_raw_m,velocity_raw_ms,range_kf_m,velocity_kf_ms,acceleration_kf_ms2,mahalanobis_d2,kf_update_accepted
3770,1013,40.52,02/28/2026 13:18:03.120,27.7180015,2.02264063,27.108616245797524,2.0226414847894403,-3.303989890128581e-05,0.007872304826167745,True
3771,1014,40.56,02/28/2026 13:18:03.160,27.36714072,2.02264063,27.18970114743189,2.022640693926466,-3.1543363716755023e-05,0.0006674497948705563,True
3772,1015,40.6,02/28/2026 13:18:03.200,27.36714072,2.02264063,27.27070411778539,2.022640244862742,-2.56931237300714e-05,0.00019715217413173957,True
3773,1016,40.64,02/28/2026 13:18:03.240,27.36714072,2.02264063,27.351625392965484,2.022640025386579,-1.8242263916634094e-05,5.1035090758909155e-06,True
3774,1017,40.68,02/28/2026 13:18:03.280,28.06886228,2.02264063,27.433171434048422,2.022641009372132,-1.468451480201473e-05,0.008566596870780993,True
3775,1018,40.72,02/28/2026 13:18:03.320,28.06886228,2.02264063,27.514634900761415,2.0226413856179533,-1.6679368341227095e-05,0.006511663494589729,True
3776,1019,40.76,02/28/2026 13:18:03.360,28.06886228,2.02264063,27.59601602342512,2.022641392925096,-1.97999734049074e-05,0.004739750750312628,True
3777,1020,40.800000000000004,02/28/2026 13:18:03.400,28.06886228,2.02264063,27.67731503251434,2.022641216249505,-2.1838215518192844e-05,0.003250001359099315,True
3778,1021,40.84,02/28/2026 13:18:03.440,28.41972305,2.02264063,27.758883974308215,2.0226415135088818,-2.400744236690714e-05,0.00925776648569551,True
3779,1022,40.88,02/28/2026 13:18:03.480,28.41972305,2.02264063,27.84037059576317,2.0226414824241785,-2.6843210492679666e-05,0.0071154126816113696,True
3780,1023,40.92,02/28/2026 13:18:03.520,28.41972305,2.02264063,27.921775126868056,2.0226412935799147,-2.845197925274224e-05,0.005256320565828976,True
3781,1024,40.96,02/28/2026 13:18:03.560,28.41972305,2.02264063,28.00309779791985,2.0226410565268305,-2.8254382942697772e-05,0.003679635307690011,True
3782,1025,41.0,02/28/2026 13:18:03.600,28.77058383,2.02264063,28.084689367536637,2.022641366673505,-2.8342709517728042e-05,0.00997304533801831,True
3783,1026,41.04,02/28/2026 13:18:03.640,28.77058383,2.02264063,28.166198874259454,2.022641378303795,-2.9610263965900468e-05,0.007743549732852036,True
3784,1027,41.08,02/28/2026 13:18:03.680,28.77058383,2.02264063,28.247626546912436,2.022641236319211,-3.021322869933009e-05,0.00579755446764574,True
3785,1028,41.12,02/28/2026 13:18:03.720,29.12144461,2.02264063,28.32932218388681,2.022641574345346,-3.143793009355256e-05,0.013301377785594874,True
3786,1029,41.160000000000004,02/28/2026 13:18:03.760,29.12144461,2.02264063,28.410935784865163,2.022641577999861,-3.3747502728482115e-05,0.010701645683400653,True
3787,1030,41.2,02/28/2026 13:18:03.800,29.12144461,2.02264063,28.492467577474045,2.0226414137717716,-3.5126973518638427e-05,0.008386500870214492,True
3788,1031,41.24,02/28/2026 13:18:03.840,29.12144461,2.02264063,28.573917789575006,2.0226411915506217,-3.48796085853461e-05,0.006355088867537308,True
3789,1032,41.28,02/28/2026 13:18:03.880,29.47230539,2.02264063,28.655634949236603,2.0226415089859664,-3.500730010824413e-05,0.014138525281647944,True
3790,1033,41.32,02/28/2026 13:18:03.920,29.47230539,2.02264063,28.737270329504863,2.0226415229651034,-3.634398019019054e-05,0.011453181847226936,True
3791,1034,41.36,02/28/2026 13:18:03.960,29.64773578,2.02264063,28.818997991341252,2.0226416487944063,-3.7994975388877545e-05,0.014559415491156075,True
3792,1035,41.4,02/28/2026 13:18:04.000,29.64773578,2.02264063,28.900644000543558,2.0226415504435056,-3.950757491514479e-05,0.011831973308711689,True
3793,1036,41.44,02/28/2026 13:18:04.040,29.64773578,2.02264063,28.982208583049385,2.0226413549773774,-3.9715736944831034e-05,0.009389457366102527,True
3794,1037,41.480000000000004,02/28/2026 13:18:04.080,29.64773578,2.02264063,29.06369196491026,2.0226411396499726,-3.8380161878491306e-05,0.007231016515711157,True
3795,1038,41.52,02/28/2026 13:18:04.120,29.64773578,2.191194016,29.14996135900399,2.1162318864573413,0.8992145556763029,5.059382998052868,True
3796,1039,41.56,02/28/2026 13:18:04.160,29.64773578,2.191194016,29.236862760486947,2.1738526539896004,1.1072469786798458,0.27406897568920074,True
3797,1040,41.6,02/28/2026 13:18:04.200,29.82316617,2.191194016,29.324415785017404,2.2031798631032733,0.9634709773584178,0.13446529008759034,True
3798,1041,41.64,02/28/2026 13:18:04.240,29.82316617,2.191194016,29.41225841852118,2.21366499442655,0.6939140970542724,0.45770222486247075,True
3799,1042,41.68,02/28/2026 13:18:04.280,29.82316617,2.191194016,29.500226410172335,2.2135327080337315,0.4259430038631833,0.4510079116679105,True
3800,1043,41.72,02/28/2026 13:18:04.320,29.82316617,2.191194016,29.588201528754475,2.20870664165062,0.21586433762214677,0.27699842086538706,True
3801,1044,41.76,02/28/2026 13:18:04.360,29.82316617,2.191194016,29.676111291907127,2.2028229467409988,0.0763654234050627,0.1220816547759549,True
3802,1045,41.800000000000004,02/28/2026 13:18:04.400,29.82316617,2.191194016,29.763919082514725,2.1977244678571157,-0.0019731981510026225,0.038429959359425496,True
3803,1046,41.84,02/28/2026 13:18:04.440,29.82316617,2.191194016,29.85161209907869,2.194063223310285,-0.03639260557005966,0.007421569389316908,True
3804,1047,41.88,02/28/2026 13:18:04.480,30.34945734,2.191194016,29.939706356844148,2.191823284414318,-0.04393609077681695,0.003914571208017798,True
3805,1048,41.92,02/28/2026 13:18:04.520,30.34945734,2.191194016,30.027691907622614,2.1906927637285922,-0.037918958761780024,0.0024211621525181753,True
3806,1049,41.96,02/28/2026 13:18:04.560,30.34945734,2.191194016,30.115576485831582,2.190296883830761,-0.02715396775321,0.001884017812925322,True
3807,1050,42.0,02/28/2026 13:18:04.600,30.34945734,2.191194016,30.203366798503232,2.1903121907461265,-0.016573718383599032,0.0011521699050421374,True
3808,1051,42.04,02/28/2026 13:18:04.640,30.34945734,2.191194016,30.29106771471823,2.190507082547271,-0.008332511904744303,0.0004967907217017653,True
3809,1052,42.08,02/28/2026 13:18:04.680,30.70031811,2.191194016,30.379024398668676,2.1907407688160148,-0.0028912555582601617,0.00237346964940653,True
3810,1053,42.12,02/28/2026 13:18:04.720,30.70031811,2.191194016,30.466895774222802,2.1909413617598203,0.00014256474910791283,0.00121258889344687,True
3811,1054,42.160000000000004,02/28/2026 13:18:04.760,30.8757485,2.191194016,30.554853314028204,2.1910846777769954,0.0014582800461845973,0.002193721700274149,True
3812,1055,42.2,02/28/2026 13:18:04.800,30.8757485,2.191194016,30.642726163826374,2.191171687724426,0.001729102252678957,0.0011515195774639872,True
3813,1056,42.24,02/28/2026 13:18:04.840,30.8757485,2.191194016,30.73051430534113,2.191215068008645,0.001478414409574044,0.00044752559274260743,True
3814,1057,42.28,02/28/2026 13:18:04.880,31.22660928,2.191194016,30.81855826341941,2.1912303035013667,0.0010483133332643056,0.0035307790145720423,True
3815,1058,42.32,02/28/2026 13:18:04.920,31.22660928,2.191194016,30.906516802363917,2.191229293407662,0.0006292075294115027,0.0021730465482132457,True
3816,1059,42.36,02/28/2026 13:18:04.960,31.40203967,2.191194016,30.994559966580866,2.1912215221797493,0.00030443996696655017,0.003520402268305636,True
3817,1060,42.4,02/28/2026 13:18:05.000,31.57747006,2.02264063,31.077820365271233,2.0976214787341365,-0.8991603301547829,5.06174115889932,True
3818,1061,42.44,02/28/2026 13:18:05.040,31.57747006,2.02264063,31.160282185860176,2.0399925489948743,-1.1073088336465633,0.2744696266020115,True
3819,1062,42.480000000000004,02/28/2026 13:18:05.080,31.57747006,2.02264063,31.242099146105488,2.010659654070134,-0.9635806284146913,0.13149884777016865,True
3820,1063,42.52,02/28/2026 13:18:05.120,31.57747006,2.02264063,31.323460499406444,2.000170884837005,-0.6940300618725992,0.4554819495720514,True
3821,1064,42.56,02/28/2026 13:18:05.160,31.57747006,2.02264063,31.40453096121976,2.0003011823110715,-0.42604357930582626,0.4494919614692663,True
3822,1065,42.6,02/28/2026 13:18:05.200,31.75290045,2.02264063,31.48559832848308,2.005126647687495,-0.21594223264919254,0.27740965220515557,True
3823,1066,42.64,02/28/2026 13:18:05.240,32.10376123,2.02264063,31.566904042858113,2.0110107567459723,-0.0764232896612346,0.12777447698070707,True
3824,1067,42.68,02/28/2026 13:18:05.280,32.10376123,1.854087244,31.643279589446525,1.922518574047459,-0.897320456337137,4.2161694685430815,True
3825,1068,42.72,02/28/2026 13:18:05.320,32.10376123,1.854087244,31.718892369070595,1.8685590111278891,-1.0709190364945995,0.19148818809508508,True
3826,1069,42.76,02/28/2026 13:18:05.360,32.10376123,1.854087244,31.79389576529765,1.841472670213863,-0.9195905093173303,0.14516567296977584,True
3827,1070,42.800000000000004,02/28/2026 13:18:05.400,32.10376123,1.854087244,31.868472798879292,1.8321182505153124,-0.6560472046273649,0.43527209489232777,True
3828,1071,42.84,02/28/2026 13:18:05.440,32.10376123,1.854087244,31.94278065509638,1.8326461821768634,-0.3988379220271135,0.4140310901824971,True
3829,1072,42.88,02/28/2026 13:18:05.480,32.27919162,1.854087244,32.01709959613214,1.8374567796314818,-0.19933533353725658,0.2502178221150765,True
3830,1073,42.92,02/28/2026 13:18:05.520,32.27919162,1.854087244,32.09132952875657,1.8431452025731452,-0.06807208017434563,0.10843761243016499,True
3831,1074,42.96,02/28/2026 13:18:05.560,32.45462201,1.685533858,32.16080535978286,1.7544194040215142,-0.894420152646347,4.269632621913211,True
3832,1075,43.0,02/28/2026 13:18:05.600,32.45462201,1.685533858,32.22952494547793,1.7002589838962503,-1.07106006526034,0.19608165694914426,True
3833,1076,43.04,02/28/2026 13:18:05.640,32.45462201,1.685533858,32.29764115524615,1.673029220195815,-0.9210522812460235,0.14116362721646722,True
3834,1077,43.08,02/28/2026 13:18:05.680,32.6300524,1.685533858,32.36550435753374,1.6635877978809994,-0.6577837124068342,0.43467805543094323,True
3835,1078,43.12,02/28/2026 13:18:05.720,32.80548278,1.685533858,32.43327152272195,1.6640724270206573,-0.40032738741500823,0.4172169977275895,True
3836,1079,43.160000000000004,02/28/2026 13:18:05.760,32.80548278,1.516980473,32.49602051634611,1.575276959872622,-1.0996487824442123,3.058580009744254,True
3837,1080,43.2,02/28/2026 13:18:05.800,32.80548278,1.516980473,32.55797396573181,1.5233453195387436,-1.1759983998814292,0.03773017238003966,True
3838,1081,43.24,02/28/2026 13:18:05.840,32.80548278,1.516980473,32.61931975892634,1.4988909180428966,-0.9589935119540156,0.295056988869213,True
3839,1082,43.28,02/28/2026 13:18:05.880,33.15634356,1.516980473,32.68059206268974,1.4918759406085833,-0.657833179257848,0.5716676150069379,True
3840,1083,43.32,02/28/2026 13:18:05.920,33.33177395,1.516980473,32.7417873901207,1.4941137962764135,-0.3835167326666569,0.47769942648413544,True
3841,1084,43.36,02/28/2026 13:18:05.960,33.33177395,1.348427087,32.79798430380833,1.4063980034177512,-1.078929719993895,3.028509089229561,True
3842,1085,43.4,02/28/2026 13:18:06.000,33.33177395,1.348427087,32.85340252800003,1.3550160764543424,-1.1579652144361585,0.04388954752342521,True
3843,1086,43.44,02/28/2026 13:18:06.040,33.33177395,1.348427087,32.90822639423895,1.3307583837915706,-0.9460058418123145,0.28460136295131483,True
3844,1087,43.480000000000004,02/28/2026 13:18:06.080,33.33177395,1.348427087,32.96265372714724,1.3237406065102757,-0.6498618245606482,0.5510288461589593,True
3845,1088,43.52,02/28/2026 13:18:06.120,33.33177395,1.179873701,33.011979034887894,1.2322967776069125,-1.2787255893780374,2.473839018514305,True
3846,1089,43.56,02/28/2026 13:18:06.160,33.33177395,1.179873701,33.06046748527987,1.1804407385318338,-1.2855243184575351,0.0018490681149365275,True
3847,1090,43.6,02/28/2026 13:18:06.200,33.33177395,1.179873701,33.10833750289718,1.1572572630836553,-1.0142144141036813,0.4611191737009585,True
