,Time,Latitude,Longitude,Position (m),Speed (km/h),Acceleration (m/s2)
61,3/22/2026 18:53:23.040,31.7746816,-106.5012354,21.440733055228502,24.840000000000003,-1.6000000000000014
62,3/22/2026 18:53:23.080,31.7746796,-106.5012336,21.721063541860566,24.66,-1.7500000000000013
63,3/22/2026 18:53:23.120,31.7746775,-106.501232,21.99958807120799,24.48,-1.8125000000000024
64,3/22/2026 18:53:23.160,31.7746756,-106.5012303,22.26532804419307,24.264000000000003,-1.800000000000003
65,3/22/2026 18:53:23.200,31.7746737,-106.5012287,22.525447809010554,23.904,-1.6375000000000017
66,3/22/2026 18:53:23.240,31.7746719,-106.5012271,22.776599640255075,23.544,-1.462500000000001
67,3/22/2026 18:53:23.280,31.77467,-106.5012255,23.036719408136914,23.292,-1.4000000000000012
68,3/22/2026 18:53:23.320,31.7746681,-106.5012238,23.302459389019123,23.148,-1.5000000000000002
69,3/22/2026 18:53:23.360,31.7746663,-106.5012223,23.548021845979665,22.968,-1.599999999999998
70,3/22/2026 18:53:23.400,31.7746644,-106.5012208,23.80274909518619,22.752,-1.5874999999999984
71,3/22/2026 18:53:23.440,31.7746626,-106.5012193,24.04831155465169,22.356,-1.5375000000000008
72,3/22/2026 18:53:23.480,31.7746608,-106.5012178,24.293874015714028,22.104,-1.4124999999999996
73,3/22/2026 18:53:23.520,31.7746591,-106.5012163,24.530440524793526,21.816,-1.2749999999999972
74,3/22/2026 18:53:23.560,31.7746574,-106.5012148,24.76700703494788,21.744,-1.2999999999999967
75,3/22/2026 18:53:23.600,31.7746556,-106.5012133,25.012569500623297,21.708,-1.4624999999999977
76,3/22/2026 18:53:23.640,31.7746538,-106.5012117,25.263721349730613,21.528,-1.6249999999999987
77,3/22/2026 18:53:23.680,31.7746521,-106.5012104,25.489438911147822,21.276,-1.675
78,3/22/2026 18:53:23.720,31.7746505,-106.5012089,25.717198318209032,20.844,-1.5500000000000014
79,3/22/2026 18:53:23.760,31.7746489,-106.5012074,25.944957725962407,20.664,-1.5125000000000024
80,3/22/2026 18:53:23.800,31.7746472,-106.501206,26.17596965172919,20.484,-1.5250000000000017
81,3/22/2026 18:53:23.840,31.7746456,-106.5012046,26.397954202972716,20.196,-1.412500000000001
82,3/22/2026 18:53:23.880,31.774644,-106.5012031,26.625713615412817,20.196,-1.4624999999999997
83,3/22/2026 18:53:23.920,31.7746423,-106.5012017,26.856725545204775,20.052000000000003,-1.6124999999999996
84,3/22/2026 18:53:23.960,31.7746408,-106.5012002,27.075889461773748,19.764000000000003,-1.625000000000001
85,3/22/2026 18:53:24.000,31.7746393,-106.501199,27.27782645759038,19.476000000000003,-1.5500000000000025
86,3/22/2026 18:53:24.040,31.7746378,-106.5011977,27.48523312025445,19.08,-1.462500000000001
87,3/22/2026 18:53:24.080,31.7746363,-106.5011964,27.69263978489961,18.9,-1.4749999999999985
88,3/22/2026 18:53:24.120,31.7746348,-106.501195,27.905796103275467,18.756,-1.5374999999999983
89,3/22/2026 18:53:24.160,31.7746333,-106.5011938,28.10773310323462,18.396,-1.449999999999999
90,3/22/2026 18:53:24.200,31.7746318,-106.5011925,28.315139770632186,18.36,-1.4625
91,3/22/2026 18:53:24.240,31.7746303,-106.5011911,28.528296093324094,18.252,-1.6125
92,3/22/2026 18:53:24.280,31.7746289,-106.5011899,28.721129868204297,17.928,-1.6125000000000012
93,3/22/2026 18:53:24.320,31.7746276,-106.5011887,28.905083713918515,17.676000000000002,-1.5625000000000022
94,3/22/2026 18:53:24.360,31.7746262,-106.5011875,29.097917490750852,17.46,-1.5375000000000019
95,3/22/2026 18:53:24.400,31.7746248,-106.5011862,29.296471864989485,17.316,-1.5874999999999997
96,3/22/2026 18:53:24.440,31.7746235,-106.5011851,29.474738975435095,17.028000000000002,-1.662499999999999
97,3/22/2026 18:53:24.480,31.7746222,-106.5011839,29.658692825242053,16.704,-1.6500000000000004
98,3/22/2026 18:53:24.520,31.7746208,-106.5011827,29.851526605978663,16.524,-1.5875000000000008
99,3/22/2026 18:53:24.560,31.7746195,-106.5011815,30.03548045783199,16.452,-1.5875
100,3/22/2026 18:53:24.600,31.7746183,-106.5011804,30.204835577630373,16.092,-1.5624999999999996
101,3/22/2026 18:53:24.640,31.774617,-106.5011793,30.383102691562293,15.876,-1.5374999999999994
102,3/22/2026 18:53:24.680,31.7746158,-106.5011782,30.55245781309007,15.659999999999998,-1.662499999999999
103,3/22/2026 18:53:24.720,31.7746146,-106.5011771,30.7218129346213,15.444,-1.724999999999999
104,3/22/2026 18:53:24.760,31.7746134,-106.501176,30.891168057809296,15.264,-1.7125000000000004
105,3/22/2026 18:53:24.800,31.7746122,-106.501175,31.05487639410464,14.94,-1.6375000000000006
106,3/22/2026 18:53:24.840,31.7746111,-106.501174,31.209635086548303,14.616,-1.4250000000000003
107,3/22/2026 18:53:24.880,31.77461,-106.501173,31.364393780815462,14.364,-1.3625000000000007
108,3/22/2026 18:53:24.920,31.7746088,-106.501172,31.528102119121634,14.292000000000002,-1.6125000000000012
109,3/22/2026 18:53:24.960,31.7746077,-106.501171,31.682860813692415,14.112,-1.7625000000000015
110,3/22/2026 18:53:25.000,31.7746067,-106.50117,31.828970114267786,13.932,-1.7125000000000008
111,3/22/2026 18:53:25.040,31.7746056,-106.5011691,31.978129871775476,13.608,-1.6375000000000006
112,3/22/2026 18:53:25.080,31.7746046,-106.5011682,32.11829515774349,13.14,-1.4750000000000005
113,3/22/2026 18:53:25.120,31.7746036,-106.5011673,32.25846044345381,12.996,-1.3625000000000012
114,3/22/2026 18:53:25.160,31.7746026,-106.5011664,32.39862573022675,12.78,-1.3750000000000007
115,3/22/2026 18:53:25.200,31.7746016,-106.5011655,32.5387910178733,12.708,-1.4625
116,3/22/2026 18:53:25.240,31.7746005,-106.5011646,32.68795077838712,12.744,-1.549999999999999
117,3/22/2026 18:53:25.280,31.7745996,-106.5011637,32.81944915255612,12.312,-1.449999999999999
118,3/22/2026 18:53:25.320,31.7745988,-106.5011629,32.93633659777348,11.7,-1.15
119,3/22/2026 18:53:25.360,31.7745978,-106.5011619,33.0824459042465,11.628,-0.9874999999999995
120,3/22/2026 18:53:25.400,31.7745969,-106.5011612,33.20255391740357,11.484,-1.0124999999999993
121,3/22/2026 18:53:25.440,31.774596,-106.5011603,33.33405229459064,11.34,-1.0625
122,3/22/2026 18:53:25.480,31.7745951,-106.5011596,33.454160308458704,11.16,-1.0999999999999999
123,3/22/2026 18:53:25.520,31.7745942,-106.5011588,33.57973626223845,11.052,-1.0374999999999996
124,3/22/2026 18:53:25.560,31.7745934,-106.5011581,33.69072856018463,10.764,-0.8874999999999993
