Time (s),Position (m),Speed (m/s),Acceleration (m/s^2)
22.72,360.186134473803,16.06,-0.162499999999999
22.76,360.832378608621,16.01,-0.0125000000000064
22.8,361.460366019218,16.01,0.112499999999986
22.84,362.103670955783,16.03,0.0874999999999915
22.88,362.743789582887,16.06,-0.0499999999999945
22.92,363.383908199759,16.1,-0.162499999999994
22.96,364.024026806288,16.11,-0.212500000000007
23,364.673236271881,16.06,-0.2125
23.04,365.307506726341,16.01,-0.0875000000000026
23.08,365.947625301642,16.03,-0.012500000000002
23.12,366.590930165779,16.02,-0.0874999999999915
23.16,367.225200588952,16.04,-0.187499999999994
23.2,367.865319133568,16.07,-0.224999999999997
23.24,368.508623964486,16.04,-0.1
23.28,369.142894356491,16.01,0.0374999999999925
23.32,369.786199167056,16.02,0.0124999999999931
23.36,370.423879426159,16.02,-0.0999999999999979
23.4,371.07054646474,15.98,-0.150000000000001
23.44,371.710664943484,16.02,-0.2125
23.48,372.360867436048,16.01,-0.237500000000004
